@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
0,1,0,1,3,3,10,10,5000,0,15000,0,0,0.8,0,1,0
1,1,0,0.995,1.5,0.84,9.95,11.5,5000,0.24,15005,12,0,0.8,1,1,0.01
2,1,0,1.01552,1.38217,0.288,9.9004,11.6178,5000,0.288,15010.4,17.944,6,24.8,1.99,0.99985,0.01985
3,1,0,1.04799,1.29171,0.168174,9.85117,11.7083,5000,0.2976,15015.5,21.1662,13.772,60.6879,2.99557,0.999575,0.029552
4,1,0,1.08688,1.20991,0.136971,9.8023,11.7902,5000,0.29952,15020.3,23.1707,21.6007,103.02,4.02858,0.999188,0.039108
5,1,0,1.12976,1.1338,0.124187,9.75378,11.8663,5000,0.299904,15024.6,24.6432,28.8659,149.362,5.09532,0.998701,0.048519
6,1,0,1.17553,1.06258,0.115541,9.70559,11.9376,5000,0.299981,15028.4,25.8972,35.4143,198.648,6.1996,0.998123,0.057787
7,1,0,1.22376,0.995879,0.108115,9.65772,12.0044,5000,0.299996,15031.7,27.0766,41.2801,250.443,7.34414,0.997464,0.066915
8,1,0,1.27429,0.93339,0.101293,9.61016,12.067,5000,0.179999,15034.4,28.2477,46.5623,304.596,8.53118,0.996733,0.075904
9,1,0,1.3271,0.835742,0.09493,9.56291,12.1647,5000,0.146574,15036.6,29.4418,51.3737,361.091,9.76281,0.995936,0.084755
10,1,0,1.38227,0.728381,0.085845,9.51591,12.2722,5000,0.132651,15038.1,30.6742,55.8199,419.975,11.0411,0.995121,0.09347
11,1,0,1.43992,0.625019,0.07544,9.46913,12.3758,5000,0.123323,15038.9,31.9536,59.993,481.323,12.3682,0.994316,0.102051
12,1,0,1.50012,0.529655,0.065089,9.42256,12.4713,5000,0.115368,15039.2,33.2853,63.9712,545.23,13.7462,0.993543,0.1105
13,1,0,1.56299,0.443315,0.05539,9.37618,12.5579,5000,0.10808,15038.7,34.673,67.8196,611.801,15.1776,0.992815,0.118818
14,1,0,1.62861,0.366229,0.046543,9.32997,12.6352,5000,0.101286,15037.4,36.1194,71.5922,681.147,16.6647,0.992142,0.127006
